burst,theta_deg,G_ref_1.405GHz,sefd_jy,I_jy_ms_hz,band_avg_jy_ms
casey,1.124,0.7471,8016.2,319106436201.4,1697.4
chromatica,2.4,0.2543,8016.2,339224728486.1,1804.4
freya,2.6,0.1975,8016.2,1289660251832.5,6859.9
hamilton,0.807,0.8598,8016.2,44359709864.8,236.0
isha,1.293,0.6799,8016.2,57820995255.0,307.6
johndoeii,1.526,0.5834,8016.2,361253692512.2,1921.6
mahi,0.482,0.9463,8016.2,41073048659.7,218.5
oran,1.327,0.6657,8016.2,107098264281.8,569.7
phineas,0.096,0.9973,8016.2,417058974733.4,2218.4
whitney,1.771,0.4822,8016.2,512783094041.2,2727.6
wilhelm,0.438,0.9551,8016.2,677821678155.9,3605.4
zach,1.282,0.6841,8016.2,315918043539.4,1680.4
