burst,pointing_dec_deg,source
casey,71.8,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
chromatica,71.5,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
freya,71.6,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
hamilton,71.6,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
isha,71.6,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
johndoeii,71.5,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
mahi,71.5,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
oran,71.5,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
phineas,71.6,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
whitney,71.72,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
wilhelm,71.6,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
zach,71.6,DSA detection-log compilation (dsa_primary_beam_pointings.csv)
