nickname,tau_joint_1ghz_ms,alpha_joint_free,joint_gate_final,tau_consistency_1ghz_ms,tau_consistency_chime_ms,tau_consistency_dsa_ms,alpha_consistency_fixed,refit_status,pbf_alpha_tension,chime_ref_mhz,dsa_ref_mhz,dnu_chime_mhz,dnu_dsa_mhz,dnu_status,n_confirmed,n_budget_eligible,dominant_interv_obj,consistency_chime,consistency_dsa,C_implied_chime,C_implied_dsa,multi_screen_triggers,two_screen_coherence,constraint_level,scattering_screen,dm_budget_verdict,cross_check_notes
zach,0.3219197299896321,3.662811868539347,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,N/A — not_attempted,N/A — not_attempted,not_attempted,0,0,N/A — none eligible,N/A — no dnu_chime,N/A — no dnu_dsa,,,tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
whitney,0.4859766379421074,1.4581137120977927,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,N/A — not_attempted,N/A — not_attempted,not_attempted,4,1,halo:1473,N/A — no dnu_chime,N/A — no dnu_dsa,,,tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
oran,0.4971782465591327,1.4387843929577984,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,N/A — not_attempted,N/A — not_attempted,not_attempted,0,0,N/A — none eligible,N/A — no dnu_chime,N/A — no dnu_dsa,,,tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
isha,0.3472058050693977,4.960585117191904,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,N/A — not_attempted,N/A — not_attempted,not_attempted,0,0,N/A — none eligible,N/A — no dnu_chime,N/A — no dnu_dsa,,,tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
wilhelm,0.2607060120226853,2.705698914353688,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,9.95,2.72,inverse_scaling,0,0,N/A — none eligible,N/A — no dnu_chime,N/A — no dnu_dsa,,,inverse_dnu_scaling|tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
phineas,0.3219678541983566,3.578037689994229,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,N/A — not_attempted,N/A — not_attempted,not_attempted,16,9,halo:194051777813062524,N/A — no dnu_chime,N/A — no dnu_dsa,,,tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
freya,0.0486510578089325,5.995226536147882,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,12.9,7.0,inverse_scaling,0,0,N/A — none eligible,N/A — no dnu_chime,N/A — no dnu_dsa,,,inverse_dnu_scaling|tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
hamilton,0.0049697699028628,5.98985258576896,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,N/A — not_attempted,N/A — not_attempted,not_attempted,0,0,N/A — none eligible,N/A — no dnu_chime,N/A — no dnu_dsa,,,tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
mahi,0.0945460140817763,5.530045355428672,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,N/A — not_attempted,N/A — not_attempted,not_attempted,0,0,N/A — none eligible,N/A — no dnu_chime,N/A — no dnu_dsa,,,tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
chromatica,0.0249403776176332,5.998641181041451,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,N/A — not_attempted,N/A — not_attempted,not_attempted,1,1,halo:196733128040225775,N/A — no dnu_chime,N/A — no dnu_dsa,,,tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
casey,0.06086799947757,2.3960197471557962,from_json,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,N/A — not_attempted,N/A — not_attempted,not_attempted,8,4,halo:192821700026167542,N/A — no dnu_chime,N/A — no dnu_dsa,,,tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
johndoeii,0.8520815970667569,1.3733290552021324,MARGINAL,,,,4.0,pending — run build_tau_consistency_refits,False,600.0,1400.0,N/A — not_attempted,N/A — not_attempted,not_attempted,0,0,N/A — none eligible,N/A — no dnu_chime,N/A — no dnu_dsa,,,tau_consistency_pending,N/A — multi-scale dnu not wired,SILVER — tau_consistency pending,undetermined,N/A — sightline_budget not wired to registry,
