nickname,tau_joint_1ghz_ms,alpha_joint_free,joint_gate_final,joint_gate_source,tau_consistency_1ghz_ms,tau_consistency_chime_ms,tau_consistency_dsa_ms,alpha_consistency_fixed,refit_status,refit_source,pbf_alpha_tension
zach,0.416290521844411,3.3185812027012114,from_json,/Users/jakobfaber/Developer/repos/github.com/jakobtfaber/dsa110-FLITS/analysis/scattering-refit-2026-06/_a1_fits/zach_joint_fit_pbf-exp-exp.json,,,,4.0,pending — run build_tau_consistency_refits,,False
whitney,,,N/A — no joint fit,,,,,4.0,pending — run build_tau_consistency_refits,,False
oran,0.7264947759518551,2.6625835933429816,from_json,/Users/jakobfaber/Developer/repos/github.com/jakobtfaber/dsa110-FLITS/analysis/scattering-refit-2026-06/_a1_fits/oran_joint_fit_C2D1_pbf-exp-exp.json,,,,4.0,pending — run build_tau_consistency_refits,,False
isha,0.022430155137642536,5.302383976911713,from_json,/Users/jakobfaber/Developer/repos/github.com/jakobtfaber/dsa110-FLITS/analysis/scattering-refit-2026-06/_a1_fits/isha_joint_fit_C2D1_pbf-exp-exp.json,,,,4.0,pending — run build_tau_consistency_refits,,False
wilhelm,0.25536948980950275,2.62490892746629,from_json,/Users/jakobfaber/Developer/repos/github.com/jakobtfaber/dsa110-FLITS/analysis/scattering-refit-2026-06/_a1_fits/wilhelm_joint_fit_pbf-exp-exp.json,,,,4.0,pending — run build_tau_consistency_refits,,False
phineas,0.30183486547951716,3.320325180826794,from_json,/Users/jakobfaber/Developer/repos/github.com/jakobtfaber/dsa110-FLITS/analysis/scattering-refit-2026-06/_a1_fits/phineas_joint_fit_C3D3_pbf-exp-exp.json,,,,4.0,pending — run build_tau_consistency_refits,,False
freya,0.11870185487418447,4.354659731313678,from_json,/Users/jakobfaber/Developer/repos/github.com/jakobtfaber/dsa110-FLITS/analysis/scattering-refit-2026-06/_a1_fits/freya_joint_fit_sharedzeta_pbf-exp-exp.json,,,,4.0,pending — run build_tau_consistency_refits,,False
hamilton,,,N/A — no joint fit,,,,,4.0,pending — run build_tau_consistency_refits,,False
mahi,0.2561784483973517,2.805666388023054,from_json,/Users/jakobfaber/Developer/repos/github.com/jakobtfaber/dsa110-FLITS/analysis/scattering-refit-2026-06/_a1_fits/mahi_joint_fit_C1D1_pbf-exp-exp.json,,,,4.0,pending — run build_tau_consistency_refits,,False
chromatica,0.1957395759415959,3.28420838764534,from_json,/Users/jakobfaber/Developer/repos/github.com/jakobtfaber/dsa110-FLITS/analysis/scattering-refit-2026-06/_a1_fits/chromatica_joint_fit_sharedzeta_pbf-exp-exp.json,,,,4.0,pending — run build_tau_consistency_refits,,False
casey,0.06086799947757,2.3960197471557962,from_json,/Users/jakobfaber/Developer/repos/github.com/jakobtfaber/dsa110-FLITS/analysis/scattering-refit-2026-06/_a1_fits/casey_joint_fit_sharedzeta_pbf-exp-exp.json,,,,4.0,pending — run build_tau_consistency_refits,,False
johndoeii,0.9773500062246911,1.5286001076801996,from_json,/Users/jakobfaber/Developer/repos/github.com/jakobtfaber/dsa110-FLITS/analysis/scattering-refit-2026-06/_a1_fits/johndoeII_joint_fit_C2D1_pbf-exp-exp.json,,,,4.0,pending — run build_tau_consistency_refits,,False
