name,ra,dec,z,classification,catalog,impact_kpc,GLADE+,PGC,GWGC,HyperLEDA,2MASS,WISExSCOS,SDSS-DR16Q,Type,Bmag,f_Bmag,BMAG,Jmag,Hmag,Kmag,W1mag,W2mag,f_W1mag,Bjmag,zhelio,zcmb,f_zcmb,dL,f_dL,M*,f_M*,logRate,M_star,mass_source,id,release,brickid,objid,type,pstar,gmmcomp,e_zphot,fclean,fqual,gmag,imag,ps1_sep_arcsec
NSC J114927+712455,177.3628,71.41532,0.1689,GClstr,NED,3324.069560768032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHL J115031.3+715735,177.63055,71.9597,0.2761,GClstr,NED,4188.185420264113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6497,17.8253,0.1948122098098873
WHL J115048.0+714428,177.69998,71.74124,0.1893,GClstr,NED,613.9918782916875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4163,17.2147,0.1985791992716605
WHL J115128.2+713637,177.86755,71.6103,0.1903,GClstr,NED,1056.5822264351496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1216,16.4806,0.2381129625170287
WHL J115233.8+712812,178.14104,71.4701,0.1471,GClstr,NED,2416.49944986506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1606,16.8748,0.2428524041018381
WHL J114803.9+712423,177.01624,71.40639,0.1186,GClstr,NED,3005.483487782855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.467,14.993,0.2545777367964929
ABELL 1382,177.08806434132,71.43879421927,0.105300002,GClstr,NED,2425.4651818340303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSC J114908+720826,177.28713,72.14063,0.1111,GClstr,NED,3543.44100286986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSC J115116+713619,177.81827,71.60535,0.2441,GClstr,NED,1299.9466708423902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177.782585,71.695262,0.234488,,VII/291/gladep,7.547433455364062,12298247.0,,-,-,-,J115107.82+714142.9,-,G,20.797378,1.0,-19.614,,,,15.56,15.158,0.0,20.275999,0.23422,0.234488,,1208.568248,1.0,4.0,1.0,,10.602059991327964,catalog,,,,,,,,,,,,,
