nickname,tns,mjd,ra_deg,dec_deg,z_spec,gamma_1p4ghz_mhz,gamma_1p4ghz_err_mhz,gamma_1p4ghz_ne2001_mhz,tau_1ghz_ms,tau_1ghz_err_plus_ms,tau_1ghz_err_minus_ms,n_foreground_halo,n_foreground_cluster,localization
zach,FRB 20220207C,59617.8085036401,310.199525,72.8823272222,0.043,0.730525,0.0445,0.7781546259,0.276,0.012,0.002,1,0,20 40 47.886 +72 52 56.378
whitney,FRB 20220310F,59648.2417207443,134.7205,73.4908333333,0.479,,,2.625420632,0.151,0.017,0.01,4,3,08 58 52.92 +73 29 27.0
oran,FRB 20220506D,59705.5970129235,318.0448333333,72.8272777778,0.3005,0.42225,0.0895,0.6131321933,0.831,0.089,0.077,1,0,21 12 10.760 +72 49 38.20
isha,FRB 20221113A,59896.3865109765,71.411,70.3073888889,0.2505,0.5954,0.3,0.497767771,0.284,0.013,0.013,0,0,04 45 38.64 +70 18 26.6
wilhelm,FRB 20221203A,59916.0017508958,315.1295416667,72.0375611111,0.51,0.12105,0.027,0.629754282,0.307,0.049,0.136,1,0,21 00 31.09 +72 02 15.22
phineas,FRB 20230307A,60010.3788577185,177.7813333333,71.6956388889,0.271,4.253,0.14,4.117785215,0.568,0.126,0.228,11,8,11 51 07.52 +71 41 44.3
freya,FRB 20230325A,60028.0716905725,88.188,74.2004722222,,1.05345,0.215,1.091287275,0.143,0.01,0.007,2,0,05 52 45.12 +74 12 01.7
johndoeII,FRB 20230814B,60170.3609267555,335.97475,73.02590556,,7.6315,0.091,0.3580785559,0.156,0.076,0.012,0,0,22 23 53.94 +73 01 33.26
hamilton,FRB 20230913A,60200.207158083,305.0371666667,70.7927666667,0.3024,0.5372,0.0925,0.8087054239,0.243,0.135,0.14,2,0,20 20 08.92 +70 47 33.96
mahi,FRB 20240122A,60331.1042800127,39.7665,71.0178611111,,0.33955,0.0685,0.1464607647,0.208,0.122,0.03,0,0,02 39 03.96 +71 01 04.3
chromatica,FRB 20240203A,60343.8318219485,312.619125,73.9,0.074,1.576,0.35,0.7760343596,0.13,0.012,0.004,3,0,20 50 28.59 +73 54 00.0
casey,FRB 20240229A,60369.370952243,169.9835417,70.67622222,0.287,0.6367,0.033,4.07304557,0.023,0.204,0.004,9,4,11 19 56.05 +70 40 34.4
